DI,COUNTRY_CODE,NUTS_LEVEL,NUTS_CODE,NDW_CP1,NDW_CP2,NDW_CP3,NDW_CP4,NDW_CP5,NDW_CP6,NDW_CP7,NDW_CP8,NDW_CP9,NDW_RES1,NDW_RES2,NDW_RES3,NDW_NRES,NDW_total,GFA_RES,GFA_NRES,Energy_RES,Energy_NRES
0.0000,56.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,495.2870,231.7928,75018.2344,33335.9219
0.0000,56.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.7445,44.4459,7534.5332,7153.1543
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.7445,44.4459,7534.5332,7153.1543
0.0000,56.0000,3.0000,0.0000,28.2196,17.6373,11.4642,11.4642,8.3652,8.3627,7.2434,3.6217,3.6217,52939.2578,25446.9512,480260.0312,22439.7637,581086.0000,49.7445,44.4459,7534.5332,7153.1543
0.0000,56.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,281.0853,126.0571,42574.3633,17931.9336
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,78.4417,38.7552,11881.1611,5647.1353
0.0000,56.0000,3.0000,0.0000,12.2709,11.5039,12.2709,11.5039,15.5656,15.5697,12.7891,4.2630,4.2630,180731.1094,23059.7598,266951.5000,13445.6123,484188.0000,44.4963,24.0787,6739.5366,3579.8855
0.0000,56.0000,3.0000,0.0000,10.8113,10.0906,10.8113,9.3698,16.4433,16.4498,14.3131,5.2048,6.5060,97287.2266,5499.9658,43095.3047,3675.5066,149558.0000,14.4601,6.8717,2190.2427,992.1058
0.0000,56.0000,3.0000,0.0000,3.2958,5.9325,9.2283,9.8875,19.6629,19.6720,16.7591,7.1825,8.3795,139584.3906,5622.2554,51968.7344,4470.6172,201646.0000,19.4853,7.8049,2951.3821,1075.1439
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.4762,14.2847,5373.3882,1971.0214
0.0000,56.0000,3.0000,0.0000,3.3926,7.4637,10.8563,9.4992,18.5195,18.5264,15.8712,7.3252,8.5460,114349.6797,6489.4707,58769.9609,4249.8843,183859.0000,17.5789,7.9963,2662.5671,1141.7750
0.0000,56.0000,3.0000,0.0000,2.4986,4.3725,8.1204,8.7450,21.5186,21.5291,17.1806,6.8723,9.1630,70848.5703,3603.8743,26234.7461,2353.8162,103041.0000,9.5963,3.4540,1453.5205,459.4946
0.0000,56.0000,3.0000,0.0000,7.6552,7.6552,9.7430,9.7430,17.5621,17.5696,16.2890,6.2650,7.5180,59663.6484,4115.1738,22407.9863,2268.1931,88455.0000,8.3010,2.8331,1257.3003,369.7516
