NUTS3_addit_demolition,share_sfh_1977,share_sfh_77_90,share_sfh_90_17,share_sfh_2017__,share_mfh_1977,share_mfh_77_90,share_mfh_90_17,share_mfh_2017__,share_nres_1977,share_nres_77_90,share_nres_90_17,share_nres_2017__
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.61003,0.06057,0.07972,0.51319,0.60886,0.06049,0.07966,0.51448,0.59448,0.06165,0.07947,0.52791
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.51607,0.12018,0.14947,0.37947,0.51508,0.12003,0.14937,0.38070,0.50291,0.12232,0.14900,0.39095
1.00000,0.47549,0.12691,0.19929,0.37122,0.47458,0.12675,0.19916,0.37242,0.46337,0.12917,0.19867,0.38169
1.00000,0.39474,0.16606,0.27176,0.33916,0.39398,0.16585,0.27158,0.34030,0.38467,0.16903,0.27091,0.34711
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.41300,0.15611,0.25651,0.33425,0.41221,0.15592,0.25635,0.33540,0.40247,0.15890,0.25571,0.34279
1.00000,0.36516,0.18940,0.28897,0.30209,0.36446,0.18916,0.28878,0.30321,0.35585,0.19278,0.28807,0.30892
1.00000,0.43500,0.14081,0.24157,0.29571,0.43417,0.14064,0.24141,0.29688,0.42391,0.14333,0.24081,0.30504
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.47977,0.11152,0.20926,0.35316,0.47885,0.11138,0.20912,0.35435,0.46753,0.11352,0.20860,0.36405
1.00000,0.44753,0.13803,0.22692,0.31455,0.44667,0.13785,0.22677,0.31573,0.43612,0.14049,0.22621,0.32421
1.00000,0.46585,0.11328,0.22692,0.30436,0.46496,0.11313,0.22677,0.30554,0.45398,0.11530,0.22621,0.31492
1.00000,0.49898,0.10479,0.18933,0.38382,0.49803,0.10466,0.18920,0.38502,0.48626,0.10667,0.18873,0.39526
1.00000,0.51025,0.10090,0.17759,0.33692,0.50928,0.10077,0.17747,0.33814,0.49725,0.10270,0.17703,0.34868
1.00000,0.43625,0.14374,0.23678,0.35706,0.43542,0.14356,0.23663,0.35823,0.42513,0.14630,0.23604,0.36636
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.48102,0.13693,0.18117,0.38777,0.48010,0.13676,0.18106,0.38898,0.46875,0.13938,0.18061,0.39815
1.00000,0.46879,0.12430,0.21137,0.34525,0.46790,0.12415,0.21123,0.34644,0.45684,0.12653,0.21071,0.35564
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.44670,0.14225,0.22369,0.27401,0.44585,0.14207,0.22355,0.27518,0.43531,0.14479,0.22299,0.28355
1.00000,0.48190,0.10864,0.20926,0.32289,0.48098,0.10850,0.20912,0.32408,0.46962,0.11058,0.20860,0.33388
1.00000,0.50115,0.10974,0.18117,0.26776,0.50019,0.10960,0.18106,0.26898,0.48837,0.11170,0.18061,0.27915
1.00000,0.48760,0.12979,0.17936,0.29645,0.48666,0.12963,0.17925,0.29766,0.47517,0.13211,0.17880,0.30712
1.00000,0.42709,0.16344,0.22918,0.31507,0.42627,0.16324,0.22904,0.31624,0.41620,0.16636,0.22847,0.32376
1.00000,0.45710,0.12725,0.22469,0.32611,0.45622,0.12709,0.22454,0.32729,0.44545,0.12952,0.22399,0.33619
1.00000,0.43279,0.14614,0.23915,0.28266,0.43196,0.14595,0.23899,0.28383,0.42175,0.14875,0.23840,0.29183
1.00000,0.36943,0.16440,0.30890,0.27153,0.36873,0.16420,0.30870,0.27264,0.36002,0.16734,0.30794,0.27898
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.45556,0.13460,0.21922,0.38197,0.45469,0.13443,0.21908,0.38316,0.44395,0.13700,0.21853,0.39187
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.56661,0.06153,0.13950,0.37456,0.56552,0.06145,0.13941,0.37581,0.55216,0.06263,0.13907,0.38834
1.00000,0.60610,0.06663,0.07893,0.31531,0.60494,0.06655,0.07888,0.31660,0.59065,0.06782,0.07868,0.32981
1.00000,0.59294,0.07403,0.08968,0.33745,0.59181,0.07394,0.08962,0.33873,0.57783,0.07535,0.08940,0.35152
1.00000,0.56317,0.07823,0.12700,0.37553,0.56210,0.07813,0.12692,0.37678,0.54882,0.07963,0.12660,0.38888
1.00000,0.56170,0.06949,0.13812,0.37749,0.56063,0.06940,0.13803,0.37874,0.54738,0.07073,0.13769,0.39100
1.00000,0.56875,0.07901,0.11839,0.32073,0.56766,0.07891,0.11831,0.32200,0.55425,0.08042,0.11802,0.33419
1.00000,0.58867,0.07018,0.09965,0.33675,0.58755,0.07010,0.09958,0.33803,0.57367,0.07144,0.09933,0.35082
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.54098,0.08653,0.14947,0.39521,0.53995,0.08642,0.14937,0.39645,0.52719,0.08807,0.14900,0.40792
1.00000,0.58073,0.08186,0.09866,0.35291,0.57962,0.08176,0.09859,0.35418,0.56593,0.08333,0.09835,0.36656
1.00000,0.50539,0.08653,0.19929,0.43067,0.50442,0.08642,0.19916,0.43187,0.49251,0.08807,0.19867,0.44263
1.00000,0.53633,0.10376,0.13812,0.33682,0.53530,0.10363,0.13803,0.33807,0.52266,0.10561,0.13769,0.34908
1.00000,0.45397,0.15206,0.20336,0.31483,0.45310,0.15187,0.20323,0.31602,0.44239,0.15478,0.20272,0.32432
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.49122,0.07901,0.22692,0.46056,0.49029,0.07891,0.22677,0.46174,0.47870,0.08042,0.22621,0.47238
1.00000,0.47194,0.10287,0.22918,0.45693,0.47103,0.10274,0.22904,0.45811,0.45990,0.10471,0.22847,0.46784
1.00000,0.51265,0.11362,0.16104,0.36263,0.51167,0.11348,0.16094,0.36386,0.49958,0.11565,0.16054,0.37417
1.00000,0.51432,0.09708,0.17585,0.39597,0.51334,0.09696,0.17573,0.39719,0.50121,0.09882,0.17530,0.40790
1.00000,0.54312,0.08364,0.14947,0.35950,0.54208,0.08354,0.14937,0.36074,0.52927,0.08514,0.14900,0.37231
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,0.53210,0.09995,0.14799,0.38172,0.53108,0.09982,0.14789,0.38296,0.51854,0.10173,0.14753,0.39396
1.00000,0.53458,0.09518,0.14947,0.38213,0.53355,0.09506,0.14937,0.38337,0.52095,0.09688,0.14900,0.39453
1.00000,0.54213,0.10294,0.13085,0.35543,0.54110,0.10281,0.13076,0.35668,0.52831,0.10478,0.13044,0.36782
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.59412,0.38540,0.10409,0.03297,0.04825,0.38667,0.10285,0.03245,0.04875,0.38095,0.10589,0.03336,0.05051
0.65868,0.42926,0.11878,0.03079,0.06055,0.42999,0.11718,0.03025,0.06197,0.42284,0.12042,0.03104,0.06508
0.62731,0.39412,0.12614,0.03241,0.05433,0.39595,0.12479,0.03193,0.05432,0.38816,0.12785,0.03267,0.05831
0.69999,0.43219,0.13205,0.05384,0.07340,0.43304,0.13030,0.05292,0.07523,0.42612,0.13399,0.05434,0.07703
0.67659,0.43431,0.12416,0.03689,0.06516,0.43498,0.12246,0.03624,0.06684,0.42771,0.12585,0.03719,0.06977
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.73241,0.44353,0.13666,0.06775,0.08006,0.44447,0.13487,0.06659,0.08208,0.43747,0.13873,0.06839,0.08342
0.67810,0.41239,0.13665,0.05018,0.06172,0.41330,0.13487,0.04933,0.06345,0.40588,0.13843,0.05055,0.06609
0.74589,0.39602,0.19829,0.07045,0.07950,0.39734,0.19592,0.06933,0.08166,0.38972,0.20083,0.07096,0.08275
0.67088,0.42551,0.13182,0.03331,0.05771,0.42617,0.13002,0.03273,0.05944,0.41852,0.13344,0.03354,0.06286
0.69844,0.43459,0.14310,0.03808,0.06796,0.43572,0.14129,0.03745,0.06929,0.42832,0.14515,0.03842,0.07186
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.92777,0.35920,0.23053,0.25565,0.11788,0.36438,0.23029,0.25436,0.11424,0.35758,0.23619,0.26048,0.10903
0.72666,0.37707,0.16276,0.11027,0.07221,0.37853,0.16090,0.10857,0.07431,0.37080,0.16472,0.11098,0.07581
0.77397,0.45334,0.17483,0.05727,0.07575,0.45413,0.17247,0.05627,0.07832,0.44755,0.17763,0.05787,0.07815
0.73093,0.44358,0.14969,0.05267,0.07385,0.44439,0.14768,0.05175,0.07595,0.43745,0.15193,0.05316,0.07724
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
