DI,COUNTRY_CODE,NUTS_LEVEL,NUTS_CODE,NDW_CP1,NDW_CP2,NDW_CP3,NDW_CP4,NDW_CP5,NDW_CP6,NDW_CP7,NDW_CP8,NDW_CP9,NDW_RES1,NDW_RES2,NDW_RES3,NDW_NRES,NDW_total,GFA_RES,GFA_NRES,Energy_RES,Energy_NRES
0.0000,56.0000,3.0000,0.0000,11.2810,9.0248,10.5289,9.7769,15.4718,15.4718,16.2541,5.4180,6.7726,149845.7188,6665.9937,68992.9141,6184.3813,231689.0000,21.7602,9.8928,3295.8040,1412.4005
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.9116,21.7408,8317.0527,2984.3723
0.0000,56.0000,3.0000,0.0000,9.9230,7.7966,7.7966,10.6317,17.8064,17.8064,15.4032,6.4180,6.4180,77007.7188,3786.2395,80655.0156,4503.0093,165952.0000,13.1621,5.7472,1993.6013,811.6417
0.0000,56.0000,3.0000,0.0000,7.1572,22.1872,7.1572,6.4414,15.0697,15.0697,12.8179,6.4090,7.6908,18018.3926,463.7395,3031.7393,534.1295,22048.0000,2.0938,0.7091,317.1518,92.3015
0.0000,56.0000,3.0000,0.0000,6.5933,27.8382,5.1281,5.8607,15.3152,15.3152,11.9747,6.6526,5.3221,38151.0195,814.0828,7615.8633,1274.0347,47855.0000,4.6487,1.6463,704.1263,217.8171
0.0000,56.0000,3.0000,0.0000,10.2940,12.4999,10.2940,9.5587,16.6197,16.6197,13.3966,5.3587,5.3587,95844.6797,2039.2474,29356.4316,2899.6406,130140.0000,12.9560,5.4377,1962.3595,759.6360
0.0000,56.0000,3.0000,0.0000,5.6506,6.3569,7.0633,13.4202,19.0331,19.0331,15.3614,6.4006,7.6807,33049.7656,3128.7388,92430.5000,1913.0037,130522.0000,7.9576,2.6773,1205.2950,347.5022
0.0000,56.0000,3.0000,0.0000,7.0533,14.8120,8.4640,8.4640,16.1300,16.1300,16.3612,6.2928,6.2928,50212.6211,1073.1141,12788.1523,2016.1063,66090.0000,6.5373,2.7428,990.1063,382.9761
0.0000,56.0000,3.0000,0.0000,10.7312,8.7191,7.3777,7.3777,18.4081,18.4081,14.4890,7.2445,7.2445,32362.4082,760.8024,5495.8008,981.9893,39601.0000,3.9904,1.5185,604.4419,205.9080
0.0000,56.0000,3.0000,0.0000,3.8228,7.0085,5.7342,8.9199,19.3001,19.3001,18.5364,10.4267,6.9511,16221.5918,1024.7288,47324.8125,767.8699,65339.0000,3.5648,1.2607,539.9713,166.5887
0.0000,56.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.4572,61.1404,24909.1230,8224.0244
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.6065,7.9188,2515.2214,1144.0875
0.0000,56.0000,3.0000,0.0000,19.2148,6.1487,6.1487,6.9173,15.5856,15.5856,16.5814,6.9089,6.9089,105271.7500,8173.2114,53342.8789,4920.1602,171708.0000,16.6065,7.9188,2515.2214,1144.0875
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.3650,21.1532,9294.5420,2770.1211
0.0000,56.0000,3.0000,0.0000,40.8461,8.8099,5.6063,4.0045,10.0120,10.0120,10.3545,4.4377,5.9169,30607.1504,1368.8004,5623.6582,1461.3906,39061.0000,3.8030,1.1997,575.9970,151.6591
0.0000,56.0000,3.0000,0.0000,42.7074,7.5366,9.2114,6.6992,10.0385,10.0385,6.8842,3.4421,3.4421,132719.3281,9465.6387,55841.7305,6500.3003,204527.0000,20.4220,7.2692,3093.1487,963.2064
0.0000,56.0000,3.0000,0.0000,37.9529,9.6901,8.0751,6.4601,11.6239,11.6239,6.4773,3.2386,4.8580,87269.2500,4459.0879,30469.0195,3608.6438,125806.0000,12.1986,4.2928,1847.5825,566.5267
0.0000,56.0000,3.0000,0.0000,16.7080,29.4379,6.3649,5.5693,11.2985,11.2985,8.9182,4.4591,5.9455,25965.1758,708.0275,6013.8931,2279.9050,34967.0000,3.3008,1.1711,499.9661,155.0276
