DI,COUNTRY_CODE,NUTS_LEVEL,NUTS_CODE,NDW_CP1,NDW_CP2,NDW_CP3,NDW_CP4,NDW_CP5,NDW_CP6,NDW_CP7,NDW_CP8,NDW_CP9,NDW_RES1,NDW_RES2,NDW_RES3,NDW_NRES,NDW_total,GFA_RES,GFA_NRES,Energy_RES,Energy_NRES
0.0000,56.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,495.2870,231.7928,75015.8906,33335.1172
0.0000,56.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.7445,44.4459,7534.2979,7152.9814
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.7445,44.4459,7534.2979,7152.9814
0.0000,56.0000,3.0000,0.0000,28.2113,17.6321,11.4608,11.4608,8.4392,8.3656,7.2151,3.6075,3.6075,52940.1445,25447.3789,480258.7500,22439.7070,581086.0000,49.7445,44.4459,7534.2979,7152.9814
0.0000,56.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,281.0853,126.0571,42573.0352,17931.5020
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,78.4417,38.7552,11880.7900,5646.9990
0.0000,56.0000,3.0000,0.0000,12.2968,11.5282,12.2968,11.5282,15.4498,15.6059,12.7766,4.2589,4.2589,180732.6094,23059.9512,266949.8750,13445.5283,484188.0000,44.4963,24.0787,6739.3262,3579.7991
0.0000,56.0000,3.0000,0.0000,10.8439,10.1210,10.8439,9.3980,16.2643,16.5019,14.3149,5.2054,6.5068,97287.6641,5499.9907,43094.8672,3675.4688,149558.0000,14.4601,6.8717,2190.1743,992.0819
0.0000,56.0000,3.0000,0.0000,3.3090,5.9562,9.2652,9.9270,19.4311,19.7508,16.7796,7.1912,8.3898,139585.0000,5622.2803,51968.1680,4470.5703,201646.0000,19.4853,7.8049,2951.2898,1075.1180
0.0000,56.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.4762,14.2847,5373.2202,1970.9738
