NUTS3_addit_demolition,share_sfh_1977,share_sfh_77_90,share_sfh_90_17,share_sfh_2017__,share_mfh_1977,share_mfh_77_90,share_mfh_90_17,share_mfh_2017__,share_nres_1977,share_nres_77_90,share_nres_90_17,share_nres_2017__
f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4,f4
,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT,Share of initial area per BCAT
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.54393,0.09921,0.18506,0.39149,0.54322,0.09914,0.18504,0.39229,0.53257,0.10025,0.18467,0.40220
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.42087,0.18678,0.25637,0.27504,0.42032,0.18665,0.25635,0.27575,0.41208,0.18875,0.25583,0.28241
0.00000,0.37562,0.19655,0.30555,0.26904,0.37513,0.19641,0.30552,0.26970,0.36778,0.19861,0.30490,0.27547
0.00000,0.29669,0.23422,0.37023,0.24386,0.29630,0.23406,0.37019,0.24445,0.29049,0.23668,0.36944,0.24839
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.31188,0.22049,0.36442,0.23808,0.31147,0.22033,0.36438,0.23868,0.30536,0.22280,0.36364,0.24306
0.00000,0.27284,0.25650,0.37861,0.21478,0.27249,0.25632,0.37857,0.21535,0.26715,0.25919,0.37780,0.21859
0.00000,0.33350,0.20924,0.34764,0.20444,0.33307,0.20910,0.34761,0.20506,0.32654,0.21144,0.34690,0.20995
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.37922,0.18000,0.31777,0.25361,0.37873,0.17987,0.31774,0.25426,0.37130,0.18189,0.31710,0.26032
0.00000,0.34729,0.20714,0.33176,0.22158,0.34683,0.20700,0.33173,0.22221,0.34003,0.20932,0.33106,0.22737
0.00000,0.36408,0.17780,0.33984,0.21132,0.36360,0.17767,0.33980,0.21195,0.35647,0.17966,0.33911,0.21778
0.00000,0.39957,0.16689,0.30458,0.27897,0.39905,0.16677,0.30455,0.27963,0.39123,0.16864,0.30393,0.28621
0.00000,0.41310,0.16587,0.28793,0.23894,0.41256,0.16576,0.28790,0.23962,0.40448,0.16762,0.28731,0.24644
0.00000,0.33428,0.20811,0.34779,0.25734,0.33384,0.20796,0.34775,0.25795,0.32730,0.21029,0.34705,0.26287
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.38069,0.20245,0.29290,0.28298,0.38019,0.20231,0.29287,0.28365,0.37273,0.20457,0.29227,0.28943
0.00000,0.36546,0.18403,0.33165,0.24508,0.36498,0.18390,0.33161,0.24572,0.35783,0.18597,0.33094,0.25149
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.34534,0.21257,0.32875,0.18637,0.34489,0.21242,0.32872,0.18700,0.33813,0.21480,0.32805,0.19205
0.00000,0.38175,0.17944,0.31505,0.22774,0.38125,0.17931,0.31502,0.22839,0.37378,0.18132,0.31438,0.23450
0.00000,0.40269,0.18303,0.28399,0.17963,0.40217,0.18290,0.28396,0.18032,0.39428,0.18495,0.28338,0.18673
0.00000,0.38892,0.19909,0.28556,0.20578,0.38842,0.19895,0.28553,0.20645,0.38080,0.20118,0.28495,0.21242
0.00000,0.32460,0.22719,0.34092,0.22019,0.32417,0.22703,0.34089,0.22081,0.31782,0.22957,0.34020,0.22531
0.00000,0.35596,0.19206,0.33586,0.23123,0.35549,0.19193,0.33583,0.23186,0.34852,0.19408,0.33514,0.23736
0.00000,0.33436,0.21985,0.33567,0.19523,0.33392,0.21970,0.33563,0.19586,0.32738,0.22216,0.33495,0.20062
0.00000,0.27288,0.22878,0.40693,0.18609,0.27252,0.22862,0.40689,0.18665,0.26718,0.23118,0.40606,0.19025
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.34904,0.18500,0.35212,0.27563,0.34859,0.18487,0.35209,0.27625,0.34175,0.18694,0.35137,0.28173
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.47873,0.11832,0.25076,0.27202,0.47811,0.11824,0.25073,0.27275,0.46873,0.11957,0.25023,0.28130
0.00000,0.53456,0.11975,0.17629,0.22544,0.53386,0.11967,0.17627,0.22624,0.52340,0.12101,0.17591,0.23572
0.00000,0.51312,0.13910,0.18454,0.24356,0.51245,0.13900,0.18452,0.24435,0.50240,0.14056,0.18415,0.25321
0.00000,0.47766,0.13457,0.23554,0.27480,0.47704,0.13447,0.23552,0.27554,0.46768,0.13598,0.23504,0.28386
0.00000,0.47590,0.11640,0.25643,0.27562,0.47527,0.11632,0.25641,0.27634,0.46596,0.11762,0.25589,0.28488
0.00000,0.48438,0.13621,0.22507,0.22732,0.48375,0.13611,0.22505,0.22807,0.47426,0.13764,0.22459,0.23649
0.00000,0.51156,0.11943,0.20669,0.24246,0.51090,0.11935,0.20667,0.24323,0.50088,0.12069,0.20625,0.25233
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.44799,0.15250,0.25600,0.28855,0.44740,0.15239,0.25597,0.28927,0.43863,0.15410,0.25545,0.29685
0.00000,0.50128,0.13751,0.20163,0.25560,0.50063,0.13742,0.20161,0.25637,0.49082,0.13896,0.20120,0.26505
0.00000,0.40578,0.14932,0.31444,0.31753,0.40525,0.14922,0.31440,0.31819,0.39731,0.15089,0.31377,0.32510
0.00000,0.44461,0.16924,0.24327,0.23820,0.44403,0.16912,0.24325,0.23892,0.43533,0.17102,0.24275,0.24623
0.00000,0.35496,0.22781,0.30058,0.21935,0.35450,0.22765,0.30055,0.22001,0.34755,0.23020,0.29994,0.22502
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.38875,0.12997,0.35652,0.34300,0.38824,0.12987,0.35648,0.34364,0.38063,0.13133,0.35576,0.35052
0.00000,0.37137,0.17701,0.33110,0.34197,0.37089,0.17689,0.33106,0.34261,0.36362,0.17887,0.33039,0.34857
0.00000,0.41513,0.15690,0.29447,0.25760,0.41458,0.15679,0.29444,0.25828,0.40646,0.15854,0.29384,0.26525
0.00000,0.41814,0.16424,0.28302,0.28915,0.41759,0.16412,0.28299,0.28984,0.40940,0.16596,0.28242,0.29676
0.00000,0.44999,0.15233,0.25355,0.25706,0.44940,0.15222,0.25353,0.25778,0.44059,0.15393,0.25301,0.26539
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.43988,0.15294,0.26614,0.27683,0.43931,0.15283,0.26611,0.27754,0.43069,0.15455,0.26557,0.28498
0.00000,0.44164,0.15334,0.26343,0.27759,0.44106,0.15324,0.26341,0.27830,0.43241,0.15495,0.26287,0.28576
0.00000,0.45024,0.17211,0.23299,0.25419,0.44965,0.17199,0.23296,0.25492,0.44084,0.17391,0.23249,0.26228
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.41430,0.10004,0.07023,0.04032,0.41671,0.09922,0.06943,0.03953,0.41245,0.10186,0.07122,0.03937
0.00000,0.46024,0.11762,0.06687,0.04427,0.46169,0.11634,0.06594,0.04503,0.45321,0.11845,0.06708,0.05027
0.00000,0.42372,0.12601,0.06945,0.04039,0.42685,0.12517,0.06877,0.03877,0.41839,0.12724,0.06986,0.04407
0.00000,0.45287,0.13017,0.09641,0.05550,0.45474,0.12888,0.09516,0.05618,0.44559,0.13098,0.09663,0.06175
0.00000,0.46179,0.12069,0.07686,0.04840,0.46328,0.11939,0.07580,0.04927,0.45416,0.12139,0.07700,0.05519
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.45835,0.13025,0.11881,0.06108,0.46060,0.12906,0.11736,0.06147,0.45028,0.13086,0.11889,0.06847
0.00000,0.43425,0.13263,0.09702,0.04418,0.43592,0.13128,0.09574,0.04514,0.42706,0.13339,0.09720,0.05043
0.00000,0.40787,0.19795,0.11784,0.06033,0.41033,0.19637,0.11654,0.06075,0.39996,0.19852,0.11771,0.06781
0.00000,0.45309,0.12761,0.07398,0.04374,0.45617,0.12669,0.07321,0.04235,0.44786,0.12900,0.07449,0.04707
0.00000,0.45966,0.14046,0.07968,0.05090,0.46185,0.13915,0.07870,0.05100,0.45234,0.14135,0.07987,0.05713
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.32850,0.20829,0.33762,0.09796,0.33549,0.20975,0.33893,0.08819,0.32825,0.21286,0.34365,0.08760
0.00000,0.38238,0.15851,0.16982,0.05350,0.38472,0.15725,0.16795,0.05428,0.37524,0.15908,0.16976,0.06012
0.00000,0.46740,0.17115,0.10533,0.05688,0.46981,0.16963,0.10407,0.05725,0.45865,0.17176,0.10528,0.06508
0.00000,0.46236,0.14650,0.09778,0.05537,0.46442,0.14509,0.09654,0.05596,0.45450,0.14727,0.09791,0.06233
-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
